epoch,train_loss,train_rmse,val_rmse,test_rmse,learning_rate
1,12294.036800380503,110.8784779449864,103.24388434900885,80.60882944332715,2e-06
2,11757.197771632633,108.4306129656791,103.18711225200838,80.55010662437567,4e-06
3,11737.871570065085,108.34145822961986,103.06430095352182,80.42264591142204,6e-06
4,11704.910732408845,108.1892358451287,102.88400928326288,80.23547376376114,8e-06
5,11660.718185498736,107.98480536253733,102.64171755823264,79.9840524101823,1e-05
6,11602.095178396663,107.71302227631904,102.33193097526905,79.66260881269514,1.2e-05
7,11531.136910620085,107.3831314399833,101.94969927075707,79.26594800015688,1.4e-05
8,11441.456799606989,106.96474576215428,101.48821158006335,78.78715165197147,1.6e-05
9,11332.971940474466,106.4564323585941,100.9412270105139,78.2197067906664,1.8e-05
10,11211.11289408113,105.88254274531282,100.30003622378361,77.55464158659466,2e-05
11,11064.677852870893,105.18877268331721,99.55623622703261,76.78335380404647,2.2000000000000003e-05
12,10903.188599035684,104.41833451034076,98.69890448178039,75.89453063180837,2.4e-05
13,10717.715724308884,103.5264012158569,97.7177150469033,74.877764033502,2.6000000000000002e-05
14,10504.779786150573,102.49282768936116,96.59969606375464,73.71986346532364,2.8e-05
15,10261.893510320115,101.30100441165398,95.32996936837365,72.40585165152866,3e-05
16,9994.550825823108,99.97275031030874,93.89566295153209,70.92307692219782,3.2e-05
17,9706.202856327021,98.52006313527073,92.28535409603917,69.2609245833013,3.4e-05
18,9378.957279419348,96.84501683819413,90.48500425535457,67.40684427651053,3.6e-05
19,9006.820509307414,94.90426999343087,88.34049022089292,65.22252404420905,3.8e-05
20,8597.193739892191,92.72105335890375,86.05318565960596,62.83983740534711,4e-05
21,8173.107415874774,90.40523991552091,83.51932209733714,60.211685043499415,4.2000000000000004e-05
22,7707.444545259671,87.79205294791643,80.71902407868897,57.32032577195661,4.4000000000000006e-05
23,7217.212723338698,84.95418010436734,77.63915257175479,54.14139336615757,4.6e-05
24,6675.982147750388,81.70668357032731,74.26142812083535,50.61696372236203,4.8e-05
25,6133.444641743305,78.31631147485244,70.57878672419955,46.75312422315472,5e-05
26,5573.0255569169785,74.65269954680066,66.57961918842977,42.597699755634935,5.2000000000000004e-05
27,4982.993037217722,70.59031828463256,62.27945893216627,38.05665035665228,5.4000000000000005e-05
28,4398.4070672650705,66.32048757727779,57.720743791489205,33.097851735855805,5.6e-05
29,3817.3456922731625,61.784671959285276,52.85852838900281,27.951326581397,5.800000000000001e-05
30,3267.6861543207388,57.16367880306395,47.823598456325655,23.132586502385976,6e-05
31,2749.4112768522114,52.43482888744171,42.68254461044808,19.24414951624702,6.2e-05
32,2280.872275648806,47.75847866891524,37.919151883058525,16.8044607917297,6.4e-05
